region,base_sku,branch,status,first_observed_month,last_observed_month,last_positive_month,months_since_last_positive,exclusion_reason
TNB,03.L1.3030.6372,015,Vô hiệu hóa,2024-03-01,2024-03-01,2024-03-01,27,permanently_inactive_outside_recent_window
TNB,03.L1.3030.6372,018,Vô hiệu hóa,2024-03-01,2024-07-01,2024-07-01,23,permanently_inactive_outside_recent_window
MT-TNG,03.L1.3030.6372,023,Vô hiệu hóa,2024-11-01,2024-11-01,2024-11-01,19,permanently_inactive_outside_recent_window
DNB,03.L1.3030.6373,013,Vô hiệu hóa,2024-04-01,2024-05-01,2024-05-01,25,permanently_inactive_outside_recent_window
TNB,03.L1.3030.6373,017,Vô hiệu hóa,2024-01-01,2024-05-01,2024-05-01,25,permanently_inactive_outside_recent_window
TNB,03.L1.3030.6373,018,Vô hiệu hóa,2024-07-01,2024-07-01,2024-07-01,23,permanently_inactive_outside_recent_window
DNB,03.L1.3030.6373,019,Vô hiệu hóa,2024-03-01,2024-11-01,2024-11-01,19,permanently_inactive_outside_recent_window
MT-TNG,03.L1.3030.6373,023,Vô hiệu hóa,2024-04-01,2024-06-01,2024-06-01,24,permanently_inactive_outside_recent_window
TNB,03.L1.3030.6375,063,Vô hiệu hóa,2024-01-01,2024-01-01,2024-01-01,29,permanently_inactive_outside_recent_window
TNB,03.L1.3030.6375,069,Vô hiệu hóa,2025-01-01,2025-01-01,2025-01-01,17,permanently_inactive_outside_recent_window
DNB,03.L1.3030.6375,076,Vô hiệu hóa,2025-04-01,2025-04-01,2025-04-01,14,permanently_inactive_outside_recent_window
TNB,03.L1.3030.6376,050,Vô hiệu hóa,2024-03-01,2024-03-01,2024-03-01,27,permanently_inactive_outside_recent_window
TNB,03.L1.3030.6376,063,Vô hiệu hóa,2025-05-01,2025-05-01,2025-05-01,13,permanently_inactive_outside_recent_window
DNB,03.L1.3030.6376,081,Vô hiệu hóa,2024-12-01,2024-12-01,2024-12-01,18,permanently_inactive_outside_recent_window
TNB,03.L1.3030.6377,024,Vô hiệu hóa,2024-09-01,2024-09-01,2024-09-01,21,permanently_inactive_outside_recent_window
TNB,03.L1.3030.6378,018,Vô hiệu hóa,2024-03-01,2024-07-01,2024-07-01,23,permanently_inactive_outside_recent_window
DNB,03.L1.3030.6378,019,Vô hiệu hóa,2024-08-01,2025-03-01,2025-03-01,15,permanently_inactive_outside_recent_window
TNB,03.L1.3030.6378,024,Vô hiệu hóa,2024-09-01,2024-09-01,2024-09-01,21,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7104,002,Vô hiệu hóa,2024-01-01,2024-12-01,2024-12-01,18,permanently_inactive_outside_recent_window
MT-TNG,03.L1.3060.7104,012,Vô hiệu hóa,2024-07-01,2024-07-01,2024-07-01,23,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7104,013,Vô hiệu hóa,2024-02-01,2024-02-01,2024-02-01,28,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7104,017,Vô hiệu hóa,2024-04-01,2024-04-01,2024-04-01,26,permanently_inactive_outside_recent_window
MT-TNG,03.L1.3060.7104,023,Vô hiệu hóa,2024-04-01,2025-02-01,2025-02-01,16,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7104,024,Vô hiệu hóa,2024-02-01,2024-05-01,2024-05-01,25,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7105,013,Vô hiệu hóa,2024-02-01,2024-04-01,2024-04-01,26,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7105,017,Vô hiệu hóa,2024-04-01,2024-04-01,2024-04-01,26,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7105,024,Vô hiệu hóa,2024-05-01,2024-05-01,2024-05-01,25,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7106,002,Vô hiệu hóa,2024-01-01,2024-12-01,2024-12-01,18,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7106,010,Vô hiệu hóa,2024-01-01,2025-03-01,2025-03-01,15,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7106,013,Vô hiệu hóa,2024-04-01,2024-05-01,2024-05-01,25,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7106,017,Vô hiệu hóa,2024-04-01,2024-04-01,2024-04-01,26,permanently_inactive_outside_recent_window
MT-TNG,03.L1.3060.7106,023,Vô hiệu hóa,2024-09-01,2025-02-01,2025-02-01,16,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7106,024,Vô hiệu hóa,2024-04-01,2024-05-01,2024-05-01,25,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7107,008,Vô hiệu hóa,2024-01-01,2024-08-01,2024-08-01,22,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7107,015,Vô hiệu hóa,2024-03-01,2024-08-01,2024-08-01,22,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7107,016,Vô hiệu hóa,2024-04-01,2024-07-01,2024-07-01,23,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7107,017,Vô hiệu hóa,2024-05-01,2024-06-01,2024-06-01,24,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7107,019,Vô hiệu hóa,2024-06-01,2024-06-01,2024-06-01,24,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7107,024,Vô hiệu hóa,2024-01-01,2024-05-01,2024-05-01,25,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7108,011,Vô hiệu hóa,2024-01-01,2024-05-01,2024-05-01,25,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7108,015,Vô hiệu hóa,2024-04-01,2024-07-01,2024-07-01,23,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7108,016,Vô hiệu hóa,2024-04-01,2024-05-01,2024-05-01,25,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7108,018,Vô hiệu hóa,2024-03-01,2024-04-01,2024-04-01,26,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7108,019,Vô hiệu hóa,2024-06-01,2024-10-01,2024-10-01,20,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7108,024,Vô hiệu hóa,2024-01-01,2024-05-01,2024-05-01,25,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7109,008,Vô hiệu hóa,2024-08-01,2024-08-01,2024-08-01,22,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7109,013,Vô hiệu hóa,2024-10-01,2024-10-01,2024-10-01,20,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7109,016,Vô hiệu hóa,2024-04-01,2025-02-01,2025-02-01,16,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7109,017,Vô hiệu hóa,2024-01-01,2025-01-01,2025-01-01,17,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7109,019,Vô hiệu hóa,2024-06-01,2024-10-01,2024-10-01,20,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7109,024,Vô hiệu hóa,2024-01-01,2024-05-01,2024-05-01,25,permanently_inactive_outside_recent_window
Chưa xác định,03.L1.3060.7114,000,Vô hiệu hóa,2024-01-01,2024-05-01,2024-05-01,25,permanently_inactive_outside_recent_window
MT-TNG,03.L1.3060.7114,001,Vô hiệu hóa,2024-05-01,2024-05-01,2024-05-01,25,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7114,019,Vô hiệu hóa,2024-11-01,2024-11-01,2024-11-01,19,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7114,050,Vô hiệu hóa,2024-01-01,2024-06-01,2024-06-01,24,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7114,060,Vô hiệu hóa,2024-05-01,2025-02-01,2025-02-01,16,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7114,061,Vô hiệu hóa,2024-09-01,2025-03-01,2025-03-01,15,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7114,063,Vô hiệu hóa,2024-01-01,2024-08-01,2024-08-01,22,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7114,065,Vô hiệu hóa,2024-02-01,2024-03-01,2024-03-01,27,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7114,068,Vô hiệu hóa,2025-05-01,2025-05-01,2025-05-01,13,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7114,069,Vô hiệu hóa,2024-04-01,2024-04-01,2024-04-01,26,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7114,073,Vô hiệu hóa,2024-01-01,2025-03-01,2025-03-01,15,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7114,076,Vô hiệu hóa,2024-01-01,2024-07-01,2024-07-01,23,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7114,081,Vô hiệu hóa,2024-04-01,2024-10-01,2024-10-01,20,permanently_inactive_outside_recent_window
Chưa xác định,03.L1.3060.7115,000,Vô hiệu hóa,2024-05-01,2024-05-01,2024-05-01,25,permanently_inactive_outside_recent_window
MT-TNG,03.L1.3060.7115,001,Vô hiệu hóa,2024-05-01,2024-05-01,2024-05-01,25,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7115,050,Vô hiệu hóa,2024-01-01,2024-06-01,2024-06-01,24,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7115,061,Vô hiệu hóa,2024-11-01,2025-03-01,2025-03-01,15,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7115,063,Vô hiệu hóa,2024-01-01,2024-08-01,2024-08-01,22,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7115,076,Vô hiệu hóa,2024-07-01,2024-07-01,2024-07-01,23,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7115,081,Vô hiệu hóa,2024-04-01,2024-05-01,2024-05-01,25,permanently_inactive_outside_recent_window
Chưa xác định,03.L1.3060.7116,000,Vô hiệu hóa,2024-04-01,2024-04-01,2024-04-01,26,permanently_inactive_outside_recent_window
MT-TNG,03.L1.3060.7116,001,Vô hiệu hóa,2024-05-01,2024-05-01,2024-05-01,25,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7116,050,Vô hiệu hóa,2024-01-01,2024-06-01,2024-06-01,24,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7116,061,Vô hiệu hóa,2024-05-01,2025-03-01,2025-03-01,15,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7116,063,Vô hiệu hóa,2024-01-01,2024-09-01,2024-09-01,21,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7116,069,Vô hiệu hóa,2024-04-01,2024-04-01,2024-04-01,26,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7116,073,Vô hiệu hóa,2024-01-01,2025-03-01,2025-03-01,15,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7116,076,Vô hiệu hóa,2024-07-01,2024-07-01,2024-07-01,23,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7116,081,Vô hiệu hóa,2024-04-01,2024-04-01,2024-04-01,26,permanently_inactive_outside_recent_window
Chưa xác định,03.L1.3060.7116,222,Vô hiệu hóa,2024-03-01,2024-03-01,2024-03-01,27,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7117,050,Vô hiệu hóa,2024-04-01,2024-06-01,2024-06-01,24,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7117,063,Vô hiệu hóa,2024-04-01,2024-08-01,2024-08-01,22,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7117,073,Vô hiệu hóa,2024-05-01,2024-05-01,2024-05-01,25,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7118,050,Vô hiệu hóa,2024-06-01,2024-06-01,2024-06-01,24,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7118,063,Vô hiệu hóa,2024-03-01,2024-08-01,2024-08-01,22,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7119,050,Vô hiệu hóa,2024-01-01,2024-06-01,2024-06-01,24,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7119,073,Vô hiệu hóa,2024-04-01,2025-02-01,2025-02-01,16,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7119,081,Vô hiệu hóa,2024-01-01,2024-01-01,2024-01-01,29,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7121,008,Vô hiệu hóa,2024-01-01,2024-04-01,2024-04-01,26,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7121,010,Vô hiệu hóa,2024-01-01,2024-06-01,2024-06-01,24,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7121,015,Vô hiệu hóa,2024-01-01,2024-05-01,2024-05-01,25,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7121,016,Vô hiệu hóa,2024-03-01,2024-07-01,2024-07-01,23,permanently_inactive_outside_recent_window
MT-TNG,03.L1.3060.7121,023,Vô hiệu hóa,2024-01-01,2024-06-01,2024-06-01,24,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7121,024,Vô hiệu hóa,2024-05-01,2024-05-01,2024-05-01,25,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7122,008,Vô hiệu hóa,2024-01-01,2024-04-01,2024-04-01,26,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7122,013,Vô hiệu hóa,2024-04-01,2024-11-01,2024-11-01,19,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7122,015,Vô hiệu hóa,2024-04-01,2024-07-01,2024-07-01,23,permanently_inactive_outside_recent_window
MT-TNG,03.L1.3060.7122,023,Vô hiệu hóa,2024-03-01,2025-02-01,2025-02-01,16,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7122,024,Vô hiệu hóa,2024-05-01,2024-05-01,2024-05-01,25,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7123,002,Vô hiệu hóa,2024-01-01,2024-01-01,2024-01-01,29,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7123,008,Vô hiệu hóa,2024-03-01,2024-07-01,2024-07-01,23,permanently_inactive_outside_recent_window
MT-TNG,03.L1.3060.7123,012,Vô hiệu hóa,2024-03-01,2024-03-01,2024-03-01,27,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7123,013,Vô hiệu hóa,2024-02-01,2025-03-01,2025-03-01,15,permanently_inactive_outside_recent_window
MT-TNG,03.L1.3060.7123,023,Vô hiệu hóa,2024-01-01,2025-02-01,2025-02-01,16,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7123,024,Vô hiệu hóa,2024-05-01,2024-05-01,2024-05-01,25,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7124,008,Vô hiệu hóa,2024-01-01,2024-08-01,2024-08-01,22,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7124,010,Vô hiệu hóa,2024-03-01,2024-04-01,2024-04-01,26,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7124,011,Vô hiệu hóa,2024-01-01,2024-10-01,2024-10-01,20,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7124,015,Vô hiệu hóa,2024-01-01,2024-01-01,2024-01-01,29,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7124,017,Vô hiệu hóa,2024-03-01,2024-04-01,2024-04-01,26,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7124,018,Vô hiệu hóa,2024-01-01,2024-03-01,2024-03-01,27,permanently_inactive_outside_recent_window
MT-TNG,03.L1.3060.7124,023,Vô hiệu hóa,2024-02-01,2024-02-01,2024-02-01,28,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7124,024,Vô hiệu hóa,2024-01-01,2024-05-01,2024-05-01,25,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7125,008,Vô hiệu hóa,2024-01-01,2024-01-01,2024-01-01,29,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7125,024,Vô hiệu hóa,2024-02-01,2024-05-01,2024-05-01,25,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7126,008,Vô hiệu hóa,2024-01-01,2024-08-01,2024-08-01,22,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7126,015,Vô hiệu hóa,2024-01-01,2024-12-01,2024-12-01,18,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7126,017,Vô hiệu hóa,2024-03-01,2024-03-01,2024-03-01,27,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7126,018,Vô hiệu hóa,2024-01-01,2024-12-01,2024-12-01,18,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7126,019,Vô hiệu hóa,2024-01-01,2025-04-01,2025-04-01,14,permanently_inactive_outside_recent_window
MT-TNG,03.L1.3060.7126,023,Vô hiệu hóa,2024-01-01,2024-01-01,2024-01-01,29,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7126,024,Vô hiệu hóa,2024-01-01,2024-05-01,2024-05-01,25,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7127,018,Vô hiệu hóa,2024-04-01,2024-04-01,2024-04-01,26,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7128,011,Vô hiệu hóa,2024-03-01,2024-03-01,2024-03-01,27,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7128,017,Vô hiệu hóa,2024-01-01,2024-03-01,2024-03-01,27,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7128,018,Vô hiệu hóa,2024-04-01,2024-04-01,2024-04-01,26,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7131,002,Vô hiệu hóa,2024-01-01,2024-01-01,2024-01-01,29,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7131,018,Vô hiệu hóa,2024-03-01,2024-04-01,2024-04-01,26,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7131,097,Vô hiệu hóa,2024-04-01,2025-03-01,2025-03-01,15,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7132,002,Vô hiệu hóa,2024-01-01,2025-05-01,2025-05-01,13,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7132,018,Vô hiệu hóa,2024-04-01,2024-04-01,2024-04-01,26,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7132,097,Vô hiệu hóa,2024-04-01,2024-04-01,2024-04-01,26,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7133,002,Vô hiệu hóa,2024-01-01,2025-05-01,2025-05-01,13,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7133,018,Vô hiệu hóa,2024-03-01,2024-04-01,2024-04-01,26,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7133,097,Vô hiệu hóa,2024-04-01,2025-03-01,2025-03-01,15,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7141,050,Vô hiệu hóa,2024-01-01,2025-04-01,2025-04-01,14,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7141,061,Vô hiệu hóa,2025-03-01,2025-03-01,2025-03-01,15,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7141,063,Vô hiệu hóa,2024-01-01,2024-11-01,2024-11-01,19,permanently_inactive_outside_recent_window
MT-TNG,03.L1.3060.7141,064,Vô hiệu hóa,2024-01-01,2025-03-01,2025-03-01,15,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7141,069,Vô hiệu hóa,2024-01-01,2024-05-01,2024-05-01,25,permanently_inactive_outside_recent_window
MT-TNG,03.L1.3060.7141,072,Vô hiệu hóa,2024-01-01,2024-12-01,2024-12-01,18,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7141,076,Vô hiệu hóa,2024-01-01,2024-06-01,2024-06-01,24,permanently_inactive_outside_recent_window
MT-TNG,03.L1.3060.7141,079,Vô hiệu hóa,2024-04-01,2024-08-01,2024-08-01,22,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7141,081,Vô hiệu hóa,2024-01-01,2025-04-01,2025-04-01,14,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7142,050,Vô hiệu hóa,2024-06-01,2025-04-01,2025-04-01,14,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7142,063,Vô hiệu hóa,2024-09-01,2024-11-01,2024-11-01,19,permanently_inactive_outside_recent_window
MT-TNG,03.L1.3060.7142,064,Vô hiệu hóa,2024-01-01,2025-03-01,2025-03-01,15,permanently_inactive_outside_recent_window
MT-TNG,03.L1.3060.7142,072,Vô hiệu hóa,2024-12-01,2024-12-01,2024-12-01,18,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7142,076,Vô hiệu hóa,2024-06-01,2024-06-01,2024-06-01,24,permanently_inactive_outside_recent_window
MT-TNG,03.L1.3060.7142,079,Vô hiệu hóa,2024-06-01,2024-08-01,2024-08-01,22,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7142,081,Vô hiệu hóa,2024-02-01,2025-04-01,2025-04-01,14,permanently_inactive_outside_recent_window
Chưa xác định,03.L1.3060.7143,000,Vô hiệu hóa,2024-04-01,2024-05-01,2024-05-01,25,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7143,050,Vô hiệu hóa,2024-01-01,2025-04-01,2025-04-01,14,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7143,060,Vô hiệu hóa,2024-03-01,2024-07-01,2024-07-01,23,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7143,061,Vô hiệu hóa,2024-03-01,2025-03-01,2025-03-01,15,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7143,063,Vô hiệu hóa,2024-01-01,2024-11-01,2024-11-01,19,permanently_inactive_outside_recent_window
MT-TNG,03.L1.3060.7143,064,Vô hiệu hóa,2024-04-01,2025-03-01,2025-03-01,15,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7143,065,Vô hiệu hóa,2024-06-01,2024-07-01,2024-07-01,23,permanently_inactive_outside_recent_window
MT-TNG,03.L1.3060.7143,072,Vô hiệu hóa,2024-01-01,2024-12-01,2024-12-01,18,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7143,076,Vô hiệu hóa,2024-02-01,2024-06-01,2024-06-01,24,permanently_inactive_outside_recent_window
MT-TNG,03.L1.3060.7143,079,Vô hiệu hóa,2024-04-01,2024-08-01,2024-08-01,22,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7143,081,Vô hiệu hóa,2024-01-01,2025-02-01,2025-02-01,16,permanently_inactive_outside_recent_window
Chưa xác định,03.L1.3060.7144,000,Vô hiệu hóa,2024-03-01,2025-04-01,2025-04-01,14,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7144,002,Vô hiệu hóa,2024-01-01,2025-05-01,2025-05-01,13,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7144,008,Vô hiệu hóa,2024-01-01,2025-03-01,2025-03-01,15,permanently_inactive_outside_recent_window
MT-TNG,03.L1.3060.7144,012,Vô hiệu hóa,2024-04-01,2024-09-01,2024-09-01,21,permanently_inactive_outside_recent_window
MT-TNG,03.L1.3060.7144,014,Vô hiệu hóa,2024-01-01,2024-03-01,2024-03-01,27,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7144,015,Vô hiệu hóa,2024-01-01,2024-08-01,2024-08-01,22,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7144,016,Vô hiệu hóa,2024-04-01,2024-11-01,2024-11-01,19,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7144,018,Vô hiệu hóa,2024-04-01,2024-05-01,2024-05-01,25,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7144,022,Vô hiệu hóa,2024-04-01,2025-05-01,2025-05-01,13,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7144,024,Vô hiệu hóa,2024-03-01,2024-07-01,2024-07-01,23,permanently_inactive_outside_recent_window
MT-TNG,03.L1.3060.7144,079,Vô hiệu hóa,2024-08-01,2025-04-01,2025-04-01,14,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7144,097,Vô hiệu hóa,2024-03-01,2025-03-01,2025-03-01,15,permanently_inactive_outside_recent_window
Chưa xác định,03.L1.3060.7144,222,Vô hiệu hóa,2024-06-01,2025-03-01,2025-03-01,15,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7145,002,Vô hiệu hóa,2024-03-01,2025-05-01,2025-05-01,13,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7145,008,Vô hiệu hóa,2024-04-01,2025-03-01,2025-03-01,15,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7145,010,Vô hiệu hóa,2024-04-01,2024-05-01,2024-05-01,25,permanently_inactive_outside_recent_window
MT-TNG,03.L1.3060.7145,014,Vô hiệu hóa,2024-01-01,2024-03-01,2024-03-01,27,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7145,015,Vô hiệu hóa,2024-01-01,2024-08-01,2024-08-01,22,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7145,018,Vô hiệu hóa,2024-04-01,2024-05-01,2024-05-01,25,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7145,022,Vô hiệu hóa,2024-07-01,2024-07-01,2024-07-01,23,permanently_inactive_outside_recent_window
MT-TNG,03.L1.3060.7145,079,Vô hiệu hóa,2024-09-01,2025-04-01,2025-04-01,14,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7145,097,Vô hiệu hóa,2025-03-01,2025-03-01,2025-03-01,15,permanently_inactive_outside_recent_window
MT-TNG,03.L1.3060.7145,123,Vô hiệu hóa,2025-05-01,2025-05-01,2025-05-01,13,permanently_inactive_outside_recent_window
Chưa xác định,03.L1.3060.7146,000,Vô hiệu hóa,2024-01-01,2024-01-01,2024-01-01,29,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7146,002,Vô hiệu hóa,2024-03-01,2025-05-01,2025-05-01,13,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7146,008,Vô hiệu hóa,2024-01-01,2025-03-01,2025-03-01,15,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7146,010,Vô hiệu hóa,2024-04-01,2024-05-01,2024-05-01,25,permanently_inactive_outside_recent_window
MT-TNG,03.L1.3060.7146,012,Vô hiệu hóa,2024-01-01,2024-01-01,2024-01-01,29,permanently_inactive_outside_recent_window
MT-TNG,03.L1.3060.7146,014,Vô hiệu hóa,2024-01-01,2024-01-01,2024-01-01,29,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7146,015,Vô hiệu hóa,2024-01-01,2024-08-01,2024-08-01,22,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7146,016,Vô hiệu hóa,2024-03-01,2024-11-01,2024-11-01,19,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7146,017,Vô hiệu hóa,2024-02-01,2024-12-01,2024-12-01,18,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7146,018,Vô hiệu hóa,2024-01-01,2024-05-01,2024-05-01,25,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7146,022,Vô hiệu hóa,2024-07-01,2024-07-01,2024-07-01,23,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7146,024,Vô hiệu hóa,2024-03-01,2024-03-01,2024-03-01,27,permanently_inactive_outside_recent_window
MT-TNG,03.L1.3060.7146,079,Vô hiệu hóa,2024-05-01,2025-04-01,2025-04-01,14,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7146,097,Vô hiệu hóa,2024-01-01,2024-03-01,2024-03-01,27,permanently_inactive_outside_recent_window
MT-TNG,03.L1.3060.7146,123,Vô hiệu hóa,2025-05-01,2025-05-01,2025-05-01,13,permanently_inactive_outside_recent_window
Chưa xác định,03.L1.3060.7146,222,Vô hiệu hóa,2024-06-01,2025-03-01,2025-03-01,15,permanently_inactive_outside_recent_window
Chưa xác định,03.L1.3060.7147,000,Vô hiệu hóa,2024-10-01,2024-10-01,2024-10-01,20,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7147,011,Vô hiệu hóa,2024-03-01,2025-02-01,2025-02-01,16,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7147,016,Vô hiệu hóa,2024-03-01,2025-02-01,2025-02-01,16,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7147,018,Vô hiệu hóa,2024-01-01,2024-08-01,2024-08-01,22,permanently_inactive_outside_recent_window
